,activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value,action_type,unit_scale,assay_tax_id,assay_organism,pK,standard_inchi_key
0,872098,50613,12070,222671,193828,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,AXPUHVPSXZMXCG-GBESFXJTSA-N
1,875546,50613,12070,222669,194098,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,OUOIOYFLGHKBIG-MISYRCLQSA-N
2,884243,50613,12070,222679,193399,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,LDRLROQHPVGVQE-KBAYOESNSA-N
3,885554,50613,12070,222680,39198,=,5000.0,nM,1,EC50,,,0,5.3,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,5.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,5.301029995663981,NOFOAYPPHIUXJR-APNQCZIXSA-N
4,897461,50613,12070,222682,193345,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,MKVVTIURJHUNFY-TWMKSMIVSA-N
5,898667,50613,12070,222668,193830,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,OVWWJPDVMIKQJH-TVFCKZIOSA-N
6,901143,50613,12070,222681,193400,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,OVWWJPDVMIKQJH-XDNAFOTISA-N
7,876933,50614,12070,222686,192964,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,UVOFCPMSDXAVBD-BRWVUGGUSA-N
8,891729,50614,12070,222689,192851,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,GNUGHFZPWKBIBQ-KBAYOESNSA-N
9,895086,50614,12070,222684,192832,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,NJGVQZYMPBBZCL-MISYRCLQSA-N
10,898723,50614,12070,222685,193258,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,WEGOBZDECLEAOK-KBAYOESNSA-N
11,901176,50614,12070,222688,192848,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10310,Human alphaherpesvirus 2,inf,MLZDDBJEUQFMCL-BHIYHBOVSA-N
